,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5
MOM_MADev200_CSZ,6.570880967413709e-05,0.0,0.0,1.2327460771407792e-05,0.00010572250140030419,0.0
MOM_MADev200_SNZ,2.468453158309832e-05,0.0,0.0,1.3769357870465942e-05,1.1447979838846452e-05,0.0
MOM_Return6m_CSZ,0.00012942748884529792,1.4583408623718073e-05,0.0,0.0,2.784656785987348e-05,0.0
MOM_Return6m_SNZ,0.0001409770695195285,0.0,0.0,0.0,4.591873940491004e-05,0.0
MOM_Return12m_CSZ,5.9490385992126846e-05,0.0,0.0,0.0,4.3303463974794025e-05,0.0
MOM_Return12m_SNZ,0.00023727261591087253,0.0,0.0,3.255839165380373e-05,3.4326007599729456e-05,0.0
MOM_High52wDist_CSZ,8.89391027306737e-05,1.1704071453354982e-05,0.0,0.0,3.0017870413313993e-05,0.0
MOM_High52wDist_SNZ,3.307929816309005e-05,0.0,0.0,0.0,3.682121833932393e-05,0.0
VOL_MAE5_SNZ,0.00015275121662416814,0.0,0.0,0.0,3.1019918740507475e-05,0.0
VOL_MAE10_CSZ,3.43027813767635e-05,0.0,0.0,0.0,0.0,0.0
VOL_MAE10_SNZ,1.3896315784488152e-05,0.0,0.0,0.0,1.564143909453127e-05,0.0
VOL_DownsideRun_SNZ,1.9758245652656687e-05,0.0,0.0,0.0,0.0,0.0
VOL_ReturnSkewnessDiff_SNZ,2.215369918674206e-05,0.0,0.0,0.0,1.5511124046021974e-05,0.0
VOL_ReturnKurtosis_SNZ,7.17781419205647e-05,0.0,0.0,0.0,0.0,0.0
VOL_GapAbs_SNZ,4.2711234662846966e-05,0.0,0.0,0.0,0.0,0.0
VOL_LargeMoveCount_CSZ,0.0003690288798737881,9.711382864581897e-06,0.0,6.521828655188211e-05,0.00015170681381853937,0.0
VOL_LargeMoveCount_SNZ,1.5685024579166623e-05,1.0368231421444141e-05,0.0,0.0,6.443365670218888e-05,0.0
VOL_RangeRatioLong_SNZ,4.805964700456544e-06,0.0,0.0,0.0,1.3325261207213823e-05,0.0
VOL_ATRRatio_CSZ,8.437550673386879e-05,4.6253343819353975e-05,0.0,4.135861991173377e-05,0.00014736502901393364,3.2918504269960945e-05
VOL_ATRRatio_SNZ,8.284834365102558e-06,3.0127165753166566e-06,0.0,0.0,4.319887308644231e-06,0.0
VOL_ATRSqueeze_SNZ,2.7519714319271524e-05,0.0,0.0,0.0,1.8098506228688043e-05,0.0
VOL_ATRSqueezeBB_CSZ,9.515435340437184e-05,6.824439509358976e-06,0.0,4.66612622403293e-05,5.239246240520282e-06,0.0
VOL_ATRSqueezeBB_SNZ,0.00020376722249347982,0.0,0.0,0.0,2.870381005396037e-06,0.0
VOL_HistVol20_CSZ,0.00025197059935772064,0.00010821132030356522,2.3893058692370733e-05,7.451743712065887e-05,0.00035076388589325185,0.0
VOL_HistVol20_SNZ,6.867774820202148e-05,2.2689413660601506e-05,0.0,2.7988659362656248e-05,4.2365073103145775e-05,1.1487694190469682e-05
VOL_HV30_CSZ,0.00025463206061728487,8.223868604434588e-05,0.0,2.4711294966116024e-05,0.00010636792299626081,0.0
VOL_HV30_SNZ,6.211623341505436e-05,1.8030074640291955e-05,0.0,4.574072967666578e-06,6.681171745387946e-05,0.0
VOL_HVSlope_CSZ,6.982539964648361e-05,0.0,0.0,0.0,0.0,0.0
VOL_HVSlope_SNZ,4.637697592598932e-05,0.0,0.0,0.0,0.0,0.0
VOL_RealizedSkew20_SNZ,8.427309742213129e-05,0.0,0.0,0.0,2.210889311759303e-05,0.0
VOL_UlcerIndex14_CSZ,0.0002080205709547963,0.0,0.0,0.0,3.818508378370085e-05,0.0
VOL_UlcerIndex14_SNZ,2.9509767095847453e-05,0.0,2.6485213540751787e-05,2.3675574905958386e-05,1.3083870789537906e-05,0.0
