,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5
MOM_RetIntraday_TSR_252D,0.0,0.0001952226245679213,0.0,2.0217836784602858e-05,3.348752582566962e-05,0.0
MOM_WinRate10d_TSZ_20D,2.8410424268531938e-06,2.1035335998743603e-05,0.0,1.333141300678622e-05,0.0,0.0
MOM_WinRate10d_TSR_252D,3.5147343680069026e-06,1.4983761001773137e-05,8.146054314668251e-06,5.478558310563776e-06,0.0,0.0
MOM_MADev25_TSZ_20D,0.0,2.881039891079128e-05,7.493796523911228e-06,1.2536717905283724e-05,0.0,5.053369038858969e-06
MOM_MADev25_TSR_252D,3.2781077831996524e-06,4.251997824373295e-05,0.0,7.489517456197288e-06,2.289649311849879e-05,5.773975235577287e-06
MOM_MADev75_TSZ_20D,0.0,3.1378916215121834e-05,0.0,2.6141238762319715e-05,1.0526398579387859e-05,2.1320399852198175e-05
MOM_MADev75_TSR_252D,5.412884631814553e-05,0.0003921475550234346,0.0,3.7008092813944486e-05,0.00014423596043864004,0.00026075778371424007
MOM_MADev200_TSZ_20D,0.0,7.219161334943266e-06,0.0,1.1347845034962342e-05,0.0,1.7092945660827997e-05
MOM_MADev200_TSR_252D,0.0,2.005007510337625e-05,0.0,3.566021957214769e-05,2.339257560923275e-06,1.1571973037908244e-05
MOM_Return6m_TSZ_20D,0.0,0.00010789262165102244,0.0,0.00010611531983374927,0.0,3.114043715842574e-05
MOM_Return6m_TSR_252D,0.0,7.506724593710787e-05,9.075380571073814e-06,7.361872836175718e-05,5.244113803229239e-06,6.512446047328386e-05
MOM_Return12m_TSZ_20D,2.6646147033394847e-05,0.00013950923643608613,0.0,0.00016765307929462312,6.140233241028613e-06,9.702671811742375e-05
MOM_Return12m_TSR_252D,5.4125327697150713e-05,0.00011310943913902947,1.6924847636704024e-05,2.854442497354332e-05,1.8035673291609195e-05,0.00011874733059468141
MOM_High52wDist_TSZ_20D,5.030592132251682e-05,3.372285764715288e-05,0.0,1.883793666858466e-05,1.0824119896176825e-05,4.095490306791665e-06
MOM_High52wDist_TSR_252D,0.0,7.401345736444652e-05,0.0,2.5820524483083954e-05,1.632279645706035e-05,1.6393866909236237e-05
VOL_MAE5_TSZ_20D,0.0,3.771078291374144e-05,1.641025103924009e-06,8.947107871225501e-05,2.765597824352419e-05,1.1073444401648275e-05
