,fold_0,fold_1,fold_2,fold_3,fold_4
GOV_Sector33Code_RAW,0.0005712457990212515,0.0008310471847892453,0.02051815086874561,0.008140502484348727,0.005804031203953432
MOM_ADX14_TSZ_20D,0.0,0.0,4.260999023252929e-05,0.0,0.0
MOM_ADX14_TSR_252D,0.0,9.506105596922628e-06,5.510367694711185e-05,7.952952714801384e-05,5.748692776853307e-05
MOM_DistSMA5_TSZ_20D,0.0,0.0,2.0098738239209052e-05,0.0,0.0004901978800754078
MOM_DistSMA5-25_TSZ_20D,0.0,0.0,0.00011331223089261037,0.00013368083857883263,1.5742856192866154e-05
MOM_DistSMA5-25_TSR_252D,0.0,0.0,2.7686291106588185e-05,0.00018432052883184406,5.484185562133508e-05
MOM_DistSMA25-75_TSZ_20D,0.000957555747019809,0.0,0.0002362553046246293,0.018602907871893504,0.008126336507151388
MOM_DistSMA25-75_TSR_252D,0.0,0.0,9.205155491937754e-05,3.614607843462739e-05,0.00022916168009767622
MOM_EfficiencyRatio10_TSZ_20D,0.0,0.0,0.0,0.0,0.0
MOM_EfficiencyRatio10_TSR_252D,0.0,0.0,0.0,0.0,0.0
MOM_MACDHistNorm_TSZ_20D,0.0,0.0,0.0,0.0,0.0
MOM_MACDHistNorm_TSR_252D,0.0,0.0,2.0245090338174838e-05,0.0,0.00040769339712740804
MOM_MACDHistDiff_TSZ_20D,0.0,0.0,4.400414873879027e-05,0.0009278286077690683,0.0
MOM_MACDHistDiff_TSR_252D,0.0,0.0,0.0,0.00012027760748614285,0.0
MOM_DistHigh60_TSZ_20D,0.0,0.0,0.0,0.0008989895924484242,0.0006675014994551182
MOM_DistHigh60_TSR_252D,0.0,0.0,0.0,0.00027738289629740534,0.0
MOM_DistHigh250_TSZ_20D,0.0,0.0,1.2645165506209058e-05,4.178826906121394e-05,4.761418670252978e-05
MOM_DistKijun_TSZ_20D,0.0,0.0,0.0,3.0339366862369793e-05,0.00016955004104303112
MOM_DistKijun_TSR_252D,0.0,0.0,2.7043093129832017e-05,0.0,0.0
MOM_NewHighFlag3_TSZ_20D,0.0,0.0,0.0,0.0,0.0
